states,percent_hispanic,percent_non_hispanic_american_indianalaska_native,percent_non_hispanic_asian,percent_non_hispanic_black,percent_non_hispanic_native_hawaiianpacific_islander,percent_non_hispanic_white,social_vulnerability_index,svi_category,cvac_level_of_concern_for_vaccination_rollout,cvac_level_of_concern,percent_adults_fully_vaccinated_against_covid19,estimated_hesitant
VIRGINIA,0.0496,0.0,0.0277,0.311,0.0,0.594,0.86,Very High Concern,0.5,Moderate Concern,0.144,0.18
VIRGINIA,0.0294,0.0025,0.0058,0.1472,0.0,0.7804,0.33,Low Concern,0.21,Low Concern,0.012,0.15
VIRGINIA,0.1362,0.0022,0.1846,0.0726,0.0008,0.5611,0.09,Very Low Concern,0.05,Very Low Concern,0.137,0.1
VIRGINIA,0.0198,0.0017,0.0026,0.039,0.0,0.929,0.81,Very High Concern,0.65,High Concern,0.176,0.19
VIRGINIA,0.0289,0.0,0.0084,0.0825,0.0,0.8465,0.16,Very Low Concern,0.32,Low Concern,0.215,0.15
VIRGINIA,0.0618,0.0015,0.0306,0.2931,0.0006,0.5743,0.26,Low Concern,0.07,Very Low Concern,0.04,0.16
VIRGINIA,0.055,0.0022,0.0706,0.1867,0.0007,0.6574,0.41,Moderate Concern,0.16,Very Low Concern,0.009,0.13
VIRGINIA,0.0432,0.0008,0.0118,0.4876,0.0008,0.4239,0.96,Very High Concern,0.43,Moderate Concern,0.0,0.17
VIRGINIA,0.1718,0.0,0.1717,0.0492,0.0,0.5622,0.24,Low Concern,0.02,Very Low Concern,0.014,0.1
VIRGINIA,0.011,0.0,0.0126,0.5668,0.0,0.3686,0.72,High Concern,0.36,Low Concern,0.0,0.17
VIRGINIA,0.1068,0.0022,0.0267,0.2065,0.0014,0.5942,0.56,Moderate Concern,0.33,Low Concern,0.018,0.15
VIRGINIA,0.0417,0.0021,0.0244,0.2836,0.0001,0.6234,0.74,High Concern,0.31,Low Concern,0.002,0.17
VIRGINIA,0.3664,0.0037,0.0514,0.1321,0.0008,0.4083,0.44,Moderate Concern,0.07,Very Low Concern,0.007,0.15
VIRGINIA,0.028,0.0008,0.0247,0.0112,0.0,0.9144,0.01,Very Low Concern,0.07,Very Low Concern,0.0,0.13
VIRGINIA,0.049,0.0024,0.009,0.7629,0.0008,0.1507,0.96,Very High Concern,0.54,Moderate Concern,0.018,0.18
VIRGINIA,0.0121,0.0,0.0463,0.0307,0.0,0.8859,0.91,Very High Concern,0.44,Moderate Concern,0.0,0.19
