,percent_hispanic,percent_non_hispanic_american_indianalaska_native,percent_non_hispanic_asian,percent_non_hispanic_black,percent_non_hispanic_native_hawaiianpacific_islander,percent_non_hispanic_white,social_vulnerability_index,cvac_level_of_concern_for_vaccination_rollout,actual_y,predict_y
790,0.028,0.0005,0.0033,0.0057,0.0,0.9501,0.23,0.61,0.21,0.20290048086931262
791,0.1891,0.0018,0.0036,0.0431,0.0001,0.7548,0.7,0.66,0.18,0.19851017265257512
792,0.0277,0.001,0.0214,0.0467,0.0,0.8787,0.52,0.54,0.17,0.19719306706333858
793,0.028,0.0019,0.0089,0.0207,0.0,0.9259,0.44,0.57,0.2,0.2025447559498957
794,0.0267,0.0014,0.0115,0.0834,0.0001,0.8555,0.81,0.29,0.18,0.19614815572431907
795,0.0121,0.0007,0.0018,0.0018,0.0,0.9816,0.34,0.49,0.17,0.20267298130885544
796,0.0181,0.0,0.0057,0.0013,0.0,0.9595,0.07,0.15,0.17,0.17965593487309445
797,0.0138,0.0006,0.0028,0.0079,0.0,0.9648,0.24,0.43,0.18,0.19707824603068885
798,0.0384,0.0097,0.0054,0.0825,0.0,0.8456,0.78,0.66,0.18,0.2142090874273541
799,0.0013,0.0024,0.0032,0.0081,0.0,0.9608,0.61,0.37,0.18,0.1994833136356186
800,0.0172,0.0,0.0073,0.0065,0.0,0.9566,0.06,0.37,0.19,0.1892345144261546
801,0.0328,0.004,0.0107,0.0509,0.0,0.8782,0.17,0.34,0.18,0.18712494448684136
802,0.1115,0.0005,0.0227,0.0776,0.0,0.7681,0.49,0.38,0.15,0.18263805578470851
803,0.3187,0.0009,0.0401,0.0529,0.0004,0.5705,0.42,0.34,0.14,0.15276211830607642
804,0.0503,0.0026,0.0098,0.1397,0.0002,0.7823,0.81,0.66,0.19,0.2135770001923876
805,0.1309,0.0007,0.0278,0.0137,0.0,0.8108,0.07,0.22,0.14,0.16372407873319
806,0.0232,0.0011,0.0013,0.3022,0.0,0.6365,0.69,0.69,0.18,0.22132224263623124
807,0.0168,0.0022,0.0043,0.0073,0.0007,0.9585,0.61,0.69,0.18,0.21362728024068203
808,0.0676,0.0022,0.07400000000000001,0.0154,0.0005,0.8149,0.36,0.55,0.17,0.17038367773618193
809,0.0248,0.0009,0.0143,0.0686,0.0008,0.868,0.57,0.59,0.19,0.20430518576359677
810,0.0178,0.0022,0.0072,0.0263,0.0023,0.9151,0.86,0.49,0.18,0.20600541148294146
811,0.0405,0.0006,0.0005,0.0019,0.0001,0.9412,0.37,0.94,0.21,0.21897676165271004
812,0.0326,0.0018,0.0104,0.0854,0.0001,0.8507,0.3,0.2,0.16,0.1846210390901213
